Area,Item,Element,Unit,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Greece,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,189.4608,224.8681,293.4533,352.49,362.5182,423.0303,236.6567,272.7424,333.6754,354.5333,354.5333
Hungary,Fertilizers Manufacturing,Emissions (N2O),kt,0.0337,0.0328,0.0327,0.0311,0.0299,3.605,2.7237,2.4873,3.3379,1.7113,1.7113
Hungary,Fertilizers Manufacturing,Emissions (CO2),kt,917.8478,891.6745,1117.7709,990.4183,1100.442,898.2949,739.0312,646.186,821.0536,974.4542,974.4542
Hungary,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,8.9392,8.6843,8.653,8.2288,7.932,955.3208,721.7744,659.1303,884.5403,453.4942,453.4942
Hungary,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,926.787,900.3588,1126.424,998.6471,1108.3739,1853.6157,1460.8056,1305.3162,1705.5939,1427.9484,1427.9484
India,Fertilizers Manufacturing,Emissions (N2O),kt,0.3148,0.127,0.3713,0.3612,0.3776,0.391,0.3919,0.3913,0.4193,0.4278,0.4278
India,Fertilizers Manufacturing,Emissions (CO2),kt,23845.3776,26202.8425,26545.5979,26969.3393,27653.4159,28303.7957,27630.3298,27379.583,26673.2055,32695.3372,32695.3372
India,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,83.4188,33.6592,98.3977,95.7207,100.0651,103.6275,103.8514,103.6852,111.1195,113.3604,113.3604
India,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,23928.7964,26236.5017,26643.9956,27065.06,27753.4809,28407.4231,27734.1812,27483.2682,26784.325,32808.6976,32808.6976
Indonesia,Fertilizers Manufacturing,Emissions (CO2),kt,8908.1414,5181.3752,8280.8615,8203.4331,7900.9299,8873.9581,8839.0153,8632.8563,9405.8465,10163.1967,10163.1967
Indonesia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,8908.1414,5181.3752,8280.8615,8203.4331,7900.9299,8873.9581,8839.0153,8632.8563,9405.8465,10163.1967,10163.1967
Iran (Islamic Republic of),Fertilizers Manufacturing,Emissions (N2O),kt,0.0366,0.4739,0.4284,0.3879,0.255,0.3801,0.3792,0.377,0.4023,0.4088,0.4088
Iran (Islamic Republic of),Fertilizers Manufacturing,Emissions (CO2),kt,1205.3574,3250.6748,3529.5583,3379.479,4232.9438,3261.0021,3326.0507,3376.2544,3675.4438,3805.5182,3805.5182
Iran (Islamic Republic of),Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,9.7083,125.584,113.5143,102.7961,67.5784,100.7193,100.4856,99.8928,106.6108,108.3251,108.3251
Iran (Islamic Republic of),Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1215.0657,3376.2588,3643.0726,3482.2752,4300.5222,3361.7214,3426.5363,3476.1472,3782.0546,3913.8433,3913.8433
Iraq,Fertilizers Manufacturing,Emissions (CO2),kt,174.3567,197.7644,61.4573,39.0642,149.0039,177.6659,180.3113,182.1878,197.4776,203.6416,203.6416
Iraq,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,174.3567,197.7644,61.4573,39.0642,149.0039,177.6659,180.3113,182.1878,197.4776,203.6416,203.6416
Israel,Fertilizers Manufacturing,Emissions (N2O),kt,0.2385,0.2409,0.2491,0.2455,0.2599,0.2723,0.2759,0.2784,0.3014,0.3104,0.3104
Israel,Fertilizers Manufacturing,Emissions (CO2),kt,63.4119,64.0857,66.3263,65.4265,69.3003,72.6637,73.6813,74.3872,80.5681,83.023,83.023
Israel,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,63.2142,63.829,66.0057,65.0601,68.8629,72.1569,73.1214,73.7786,79.8649,82.2555,82.2555
Israel,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,126.626,127.9147,132.332,130.4866,138.1632,144.8206,146.8028,148.1659,160.433,165.2785,165.2785
Italy,Fertilizers Manufacturing,Emissions (N2O),kt,0.1814,0.2431,0.2003,0.1638,0.1922,0.1646,0.1813,0.1849,0.2022,0.2101,0.2101
Italy,Fertilizers Manufacturing,Emissions (CO2),kt,1198.0473,1177.9195,1075.6711,994.4656,1187.7977,1197.2585,1337.7037,1357.8625,1478.1576,1530.4379,1530.4379
Italy,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,48.0768,64.4106,53.0893,43.4136,50.9301,43.6187,48.0564,49.0049,53.5729,55.6866,55.6866
Italy,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1246.1242,1242.3302,1128.7604,1037.8793,1238.7278,1240.8772,1385.7602,1406.8674,1531.7305,1586.1245,1586.1245
Japan,Fertilizers Manufacturing,Emissions (N2O),kt,0.2528,0.254,0.2614,0.2566,0.2704,0.2823,0.285,0.2866,0.3093,0.3176,0.3176
Japan,Fertilizers Manufacturing,Emissions (CO2),kt,3791.1952,3640.1351,3376.7718,3045.3077,3279.7189,3311.893,3169.3483,3019.0714,3118.7352,4399.709,4399.709
